"Country Name";"Country Code";"1960";"1961";"1962";"1963";"1964";"1965";"1966";"1967";"1968";"1969";"1970";"1971";"1972";"1973";"1974";"1975";"1976";"1977";"1978";"1979";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"Aruba";"ABW";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"81.13573";;;;;;;;;;"85.4112";;;;;;;;;;"87.87328";;"90.87544";;;;
"Andorra";"AND";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Afghanistan";"AFG";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"34.61567";;;;;;;;;;"37.45584";;;;;;;;;;"41";;"43";;;;
"Angola";"AGO";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"28.21566";;;;;;;;;;"31.05585";;;;;;;;;;"34.6";;"37";;;;
"Albania";"ALB";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Arab World";"ARB";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"75.4639584773251";;;;;;;;;;"79.5348552320816";;;;;;;;;;"84.3623484509827";;"86.2803509434337";;;;
"United Arab Emirates";"ARE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"87.22775";;;;;;;;;;"90.89918";;;;;;;;;;"94.1";;"97.69783";;;;
"Argentina";"ARG";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"88.20815";;;;;;;;;;"92.34713";;;;;;;;;;"94";;"99.8";;;;
"Armenia";"ARM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"94.28774";;;;;;;;;;"98";;;;;;;;;;"99.8";;"100";;;;
"American Samoa";"ASM";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"48.85883";;;;;;;;;;"52.53027";;;;;;;;;;"55.8";;"59.32891";;;;
"Antigua and Barbuda";"ATG";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"81.13573";;;;;;;;;;"85.4112";;;;;;;;;;"87.87328";;"90.87544";;;;
"Australia";"AUS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Austria";"AUT";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Azerbaijan";"AZE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"93.11566";;;;;;;;;;"95.95585";;;;;;;;;;"99.5";;"100";;;;
"Burundi";"BDI";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"0.1";;;;;;;;;;"3.9";;;;;;;;;;"5.3";;"6.5";;;;
"Belgium";"BEL";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Benin";"BEN";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"22.03774";;;;;;;;;;"25.4";;;;;;;;;;"27.9";;"38.4";;;;
"Burkina Faso";"BFA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"6.1";;;;;;;;;;"6.9";;;;;;;;;;"13.1";;"13.1";;;;
"Bangladesh";"BGD";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"21.62";;;;;;;;;;"32";;;;;;;;;;"55.2";;"59.6";;;;
"Bulgaria";"BGR";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"100";;;;;;;;;;"100";;;;;;;;;;"100";;"100";;;;
"Bahrain";"BHR";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"87.22775";;;;;;;;;;"90.89918";;;;;;;;;;"94.1";;"97.69783";;;;
"Bahamas, The";"BHS";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"91.96102";;;;;;;;;;"96.1";;;;;;;;;;"100";;"100";;;;
"Bosnia and Herzegovina";"BIH";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"94.48774";;;;;;;;;;"98.5";;;;;;;;;;"99.7";;"100";;;;
